N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
178,에스엘,"24,700","1,150",-4.45%,500,"11,906","48,203",14.86,"560,774",26.53,7.25,
179,한국콜마,"51,500","2,100",-3.92%,500,"11,784","22,881",27.95,"401,366",37.05,6.39,
180,동원시스템즈,"45,000","4,150",-8.44%,"5,000","11,528","25,619",1.44,"301,205",25.57,8.69,
181,더블유게임즈,"62,500","1,200",+1.96%,500,"11,484","18,375",14.03,"327,700",10.72,18.93,
182,KBSTAR 200,"41,350",870,-2.06%,0,"11,309","27,350",0.11,"792,852",N/A,N/A,
183,보령제약,"21,400","1,250",+6.20%,500,"11,154","52,120",7.01,"19,170,168",38.35,11.96,
184,후성,"11,950",200,-1.65%,500,"11,067","92,607",4.86,"3,508,247",-217.27,3.85,
185,코오롱인더,"40,900","1,250",-2.97%,"5,000","11,034","26,979",15.31,"409,658",7.32,1.58,
186,아시아나항공,"14,650",600,-3.93%,"5,000","10,901","74,412",20.09,"1,092,272",-1.27,-90.67,
187,금호타이어,"3,775",230,-5.74%,"5,000","10,844","287,260",5.29,"1,089,645",-10.82,-3.30,
188,DGB금융지주,"6,370",270,-4.07%,"5,000","10,775","169,146",47.19,"736,517",3.25,7.31,
189,롯데관광개발,"15,550",150,-0.96%,500,"10,772","69,276",4.66,"582,648",-22.83,-4.77,
190,KG동부제철,"10,600",450,-4.07%,"5,000","10,601","100,009",0.13,"252,884",12.86,-7.44,
191,S&T모티브,"72,400",900,+1.26%,"5,000","10,587","14,623",26.21,"160,889",16.99,0.33,
192,롯데칠성,"116,000","6,500",-5.31%,500,"10,411","8,975",10.49,"49,773",-11.90,-11.68,
193,코스맥스,"103,000","4,500",-4.19%,500,"10,351","10,050",24.32,"201,536",25.50,10.45,
194,LG상사,"26,400",100,+0.38%,"5,000","10,233","38,760",22.69,"386,205",7.19,2.49,
195,JB금융지주,"5,180",220,-4.07%,"5,000","10,204","196,983",39.60,"502,046",2.95,10.36,
196,효성첨단소재,"226,500","7,000",-3.00%,"5,000","10,147","4,480",9.99,"326,654",-15.17,-19.74,
197,KODEX 코스닥150 레버리지,"14,820",995,-6.29%,0,"10,137","68,400",3.75,"25,020,697",N/A,N/A,
198,한미반도체,"18,900",900,-4.55%,200,"9,734","51,502",5.33,"769,389",22.11,8.85,
199,일양약품,"51,000",900,+1.80%,"2,500","9,734","19,086",8.16,"350,832",94.27,5.20,
200,영풍,"516,000","2,000",-0.39%,"5,000","9,505","1,842",4.65,"2,362",5.13,7.40,
